courseName	sourceName
해파랑길 1코스	장산봉 동쪽 자라락
해파랑길 1코스	남천동과 센텀시티를 잇는 7.42km의 광안대교. 야간 경관조경이 일품
해파랑길 1코스	해운 최치원
서해랑길 10코스	진도 팽목항
해파랑길 10코스	동해안
해파랑길 10코스	1주일
서해랑길 102코스	망양/망월돈대
남파랑길 11코스	진동항
해파랑길 11코스	문무대왕릉과 봉길대왕암해변이 한눈
해파랑길 11코스	아담하고 조용하지만 웅장한 거마상과 화려한 야간경관이 아름다운 전촌항
남파랑길 12코스	석전마을과 금봉촌마을
해파랑길 12코스	고려말 성씨가 다른 세집이 마을을 형성할 무렵 연꽃이 많았다 하여 붙여진 연동마을
해파랑길 12코스	바다낚시 명소 소봉대
해파랑길 12코스	캠핑장과 바다 낚싯배 송림과 백사장으로 인기가 많은 오류고아라해변 (구 오류해수욕장)
남파랑길 13코스	아기자기하고 작은 마을들을 구경할 수 있음
남파랑길 13코스	고성에서 통영으로 이어지는 아름다운 해안가
남파랑길 13코스	면화산둘레길을 따라 걸으며 고즈넉한 자연의 경치를 감상할 수 있음
해파랑길 13코스	이른 아침마다 활어시장이 열리는 출발점 양포항
해파랑길 13코스	일제강점기 수산업
남파랑길 14코스	봄철 덕포교 인근
남파랑길 14코스	소박한 죽림소공원
서해랑길 14코스	해양
해파랑길 14코스	과매기문화관과 구룡포 근대역사관
남파랑길 15코스	코스 초반 장문 해안로 구간
해파랑길 15코스	구룡포 악어 바위와 독수리바위 주변으로 정비된 해안산책로
남파랑길 16코스	거제 읍성인 거제사등성
서해랑길 16코스	포뮬러원 그랑프리 경주장
해파랑길 16코스	전설이 서린 도구해변
해파랑길 16코스	포항시내 야간경관이 아름다운 형산강을 가로지르는 포스코대교
남파랑길 17코스	거제 석름봉 둘레길
남파랑길 17코스	대나무 구간이 일부 포함되어 있어 이색적인 체험이 가능
남파랑길 17코스	하청야구장을 지나며 바라보는 바다 풍경
해파랑길 17코스	여상과 포토존
해파랑길 17코스	송도해변을 지나 북부해변
