status	courseName	sourceName	provider	matchedTitle	id	distanceM	category	query	address
confirmed	해파랑길 1코스	장산봉 동쪽 자라락	Kakao	장산봉	8071720	485	여행 > 관광,명소 > 산봉우리	부산 남구 장산봉	부산 남구 용호동 산 112-1
confirmed	해파랑길 1코스	남천동과 센텀시티를 잇는 7.42km의 광안대교. 야간 경관조경이 일품	Kakao	남천동벚꽃거리	25039071	220	여행 > 관광,명소 > 테마거리	부산 남구 남천동	부산 수영구 광안해변로 100
confirmed	서해랑길 102코스	망양/망월돈대	Kakao	망월돈대및장성	12740295	32	여행 > 관광,명소 > 문화유적	인천 강화군 망월돈대	인천 강화군 하점면 망월리 2107
confirmed	해파랑길 12코스	바다낚시 명소 소봉대	Kakao	소봉대낚시	8451247	17	스포츠,레저 > 스포츠용품 > 낚시용품	소봉대	경북 포항시 남구 장기면 동해안로2956번길 13
confirmed	해파랑길 14코스	과매기문화관과 구룡포 근대역사관	Kakao	구룡포근대역사관	20392291	3	문화,예술 > 문화시설 > 박물관	경북 포항시 구룡포 근대역사관	경북 포항시 남구 구룡포읍 구룡포길 153-1
confirmed	해파랑길 2코스	해운대와 광안리	Kakao	해운대블루라인파크 청사포정거장	321220117	1	여행 > 관광,명소 > 테마파크	해운대	부산 해운대구 청사포로 116
confirmed	남파랑길 20코스	거제 씨월드 아쿠아리움 관람 가능	Kakao	거제씨월드	23074146	42	문화,예술 > 문화시설 > 아쿠아리움	경남 거제시 거제 씨월드 아쿠아리움	경남 거제시 일운면 지세포해안로 15
confirmed	해파랑길 20코스(영덕 블루로드 3코스)	풍력발전단지 내 위치한 별반산봉수대와 영덕신재생에너지 전시관	Kakao	영덕신재생에너지전시관	12728962	46	문화,예술 > 문화시설 > 전시관	경북 영덕군 영덕신재생에너지 전시관	경북 영덕군 영덕읍 해맞이길 254-20
confirmed	해파랑길 25코스	울진의 특산물 대게를 홍보하기 위해 세워진 황금대게공원	Kakao	망양황금대게공원	27087051	0	여행 > 공원	경북 울진군 황금대게공원	경북 울진군 기성면 망양리
confirmed	남파랑길 29코스	작곡가 윤이상 기념관 및 기념공원	Kakao	윤이상기념공원	1868861984	5	여행 > 공원	경남 통영시 기념공원	경남 통영시 중앙로 27
confirmed	해파랑길 33코스	신라 51대 진성여왕의 셋째 딸 선화공주의 전설이 서린 감추사와 감추해변	Kakao	감추해변	8140057	106	여행 > 관광,명소 > 해수욕장,해변	강원 동해시 감추해변	강원특별자치도 동해시 송정동
confirmed	남파랑길 57코스	봉화산 봉화대와 고봉산전망대	Kakao	고봉산 전망대	140506108	139	여행 > 관광,명소 > 전망대	전남 여수시 고봉산전망대	전남 여수시 화양면 장수리 산 159
confirmed	남파랑길 69코스	한국의 아름다운 숲으로 선정된 천연기념물 제239호인 금탑사 비자림과 금탑사	Kakao	금탑사	8204051	458	문화,예술 > 종교 > 불교 > 절,사찰	전남 고흥군 금탑사	전남 고흥군 포두면 금탑로 842
confirmed	남파랑길 8코스	장복산 편백숲쉼터	Kakao	장복산	8544661	547	여행 > 관광,명소 > 산	경남 창원시 장복산	경남 창원시 진해구 태백동 산 52-1
confirmed	서해랑길 83코스	삽교호짚트랙	Kakao	삽교호 함상공원	11619295	43	여행 > 공원	충남 당진시 삽교호	충남 당진시 신평면 삽교천3길 79
confirmed	DMZ 평화의 길 2-1코스(우회로)	1866년 병인양요 당시 프랑스군과 전투가 벌어진 역사적 현장 문수산성	Kakao	문수산성 남문	1937740237	15	여행 > 관광,명소 > 문화유적 > 문	경기 김포시 문수산성	경기 김포시 월곶면 포내리 5-1
confirmed	DMZ 평화의 길 25코스	백자로 유명했던 방산 지역의 도자기를 모아 전시한 양구백자박물관	Kakao	양구백자박물관	20126918	63	문화,예술 > 문화시설 > 박물관	강원 양구군 양구백자박물관	강원특별자치도 양구군 방산면 평화로 5182
confirmed	DMZ 평화의 길 30-2코스(우회로)	진부령과 미시령	Kakao	진부령	964545079	52	여행 > 관광,명소 > 고개	강원 인제군 진부령	강원특별자치도 고성군 간성읍 진부령로 664
confirmed	DMZ 평화의 길 34코스	금강산, 해금강을 관람하고 DMZ	Kakao	금강산해수사우나	657358104	545	가정,생활 > 목욕탕,사우나	강원 고성군 금강산	강원특별자치도 고성군 현내면 금강산로 416
confirmed	DMZ 평화의 길 8-1코스(우회로)	임진각과 북한기념관, 각종 기념비 및 통일공원 등으로 이루어진 임진각국민관광지	Kakao	임진각 평화누리공원	27179264	414	여행 > 관광,명소 > 유원지	경기 파주시 임진각	경기 파주시 문산읍 임진각로 148-40
review	해파랑길 12코스	캠핑장과 바다 낚싯배 송림과 백사장으로 인기가 많은 오류고아라해변 (구 오류해수욕장)	Kakao	경주오류캠핑장	22736481	25	여행 > 숙박 > 야영,캠핑장	경북 경주시 캠핑장	경북 경주시 감포읍 감포로 382-7
review	남파랑길 31코스	전국 최고의 글램핑, 카라반과 사이트 시설을 갖춘 남산공원 오토캠핑장	Kakao	휴스테이 펜션 카라반	1737436092	360	여행 > 숙박 > 펜션	경남 고성군 카라반	경남 고성군 고성읍 교사대독길 462
review	해파랑길 7코스	도심 친수공간 태화강대공원	Kakao	맛나감자탕 태화강대공원점	84839603	213	음식점 > 한식 > 감자탕	울산 남구 태화강대공원	울산 중구 태화강국가정원길 231-6
review	남파랑길 74코스	내로마을, 외로마을, 도야마을	Kakao	외로마을회관	9280650	11	가정,생활 > 친목 > 마을회관	전남 고흥군 외로마을	전남 고흥군 과역면 외로길 21
